,numerai_ticker,ticker_cleaned,name,market_country
0,SVW.AX,SVW,seven group holdings,au
1,GEM.AX,GEM,g8 education,au
2,VOC.AX,VOC,vocus group,au
3,AZJ.AX,AZJ,aurizon holdings,au
4,NXT.AX,NXT,nextdc,au
5,TWE.AX,TWE,treasury wine estates,au
6,SGR.AX,SGR,star entertainment group,au
7,CKF.AX,CKF,collins foods,au
8,BGA.AX,BGA,bega cheese,au
9,QUB.AX,QUB,qube holdings,au
10,MMS.AX,MMS,mcmillan shakespeare,au
11,AX1.AX,AX1,accent group,au
12,SUL.AX,SUL,super retail group,au
13,NCM.AX,NCM,newcrest mining,au
14,KAR.AX,KAR,karoon energy,au
15,NCK.AX,NCK,nick scali,au
16,PRU.AX,PRU,perseus mining,au
17,REA.AX,REA,rea group,au
18,CIM.AX,CIM,cimic group,au
19,LLC.AX,LLC,lendlease group,au
20,JIN.AX,JIN,jumbo interactive,au
21,JBH.AX,JBH,jb hifi,au
22,AMP.AX,AMP,amp,au
23,QAN.AX,QAN,qantas airways,au
24,ILU.AX,ILU,iluka resources,au
25,MGX.AX,MGX,mount gibson iron,au
26,WOW.AX,WOW,woolworths group,au
27,SSM.AX,SSM,service stream,au
28,LYC.AX,LYC,lynas rare earths,au
29,ASX.AX,ASX,asx,au
30,PNV.AX,PNV,polynovo,au
31,ORG.AX,ORG,origin energy,au
32,CBA.AX,CBA,commonwealth bank australia,au
33,BLD.AX,BLD,boral,au
34,ORI.AX,ORI,orica,au
35,IMD.AX,IMD,imdex,au
36,DOW.AX,DOW,downer edi,au
37,ARB.AX,ARB,arb,au
38,NUF.AX,NUF,nufarm,au
39,HLS.AX,HLS,healius,au
40,CPU.AX,CPU,computershare,au
41,CSL.AX,CSL,csl,au
42,SUN.AX,SUN,suncorp group,au
43,RMS.AX,RMS,ramelius resources,au
44,MND.AX,MND,monadelphous group,au
45,SFR.AX,SFR,sandfire resources,au
46,WES.AX,WES,wesfarmers,au
47,AWC.AX,AWC,alumina,au
48,FMG.AX,FMG,fortescue metals group,au
49,TLS.AX,TLS,telstra,au
50,BPT.AX,BPT,beach energy,au
51,RHC.AX,RHC,ramsay health care,au
52,IAG.AX,IAG,insurance australia group,au
53,SBM.AX,SBM,st barbara,au
54,CUV.AX,CUV,clinuvel pharmaceuticals,au
55,PME.AX,PME,pro medicus,au
56,EOS.AX,EOS,electro optic systems holdings,au
57,APE.AX,APE,eagers automotive,au
58,IRE.AX,IRE,iress,au
59,TNE.AX,TNE,technology one,au
60,WOR.AX,WOR,worley,au
61,IPL.AX,IPL,incitec pivot,au
62,PPT.AX,PPT,perpetual,au
63,CTD.AX,CTD,corporate travel management,au
64,SHL.AX,SHL,sonic healthcare,au
65,WEB.AX,WEB,webjet,au
66,BOQ.AX,BOQ,bank queensland,au
67,HSN.AX,HSN,hansen technologies,au
68,APA.AX,APA,apa group,au
69,CCP.AX,CCP,credit group,au
70,BKW.AX,BKW,brickworks,au
71,FLT.AX,FLT,flight centre travel group,au
72,ELD.AX,ELD,elders,au
