numerai_ticker,ticker_cleaned,name,market_country,trends_us
SVW.AX,SVW,seven group holdings,au,
GEM.AX,GEM,g8 education,au,
VOC.AX,VOC,vocus group,au,
AZJ.AX,AZJ,aurizon holdings,au,
NXT.AX,NXT,nextdc,au,
TWE.AX,TWE,treasury wine estates,au,
SGR.AX,SGR,star entertainment group,au,
CKF.AX,CKF,collins foods,au,
BGA.AX,BGA,bega cheese,au,
QUB.AX,QUB,qube holdings,au,
MMS.AX,MMS,mcmillan shakespeare,au,
AX1.AX,AX1,accent group,au,
SUL.AX,SUL,super retail group,au,
NCM.AX,NCM,newcrest mining,au,
KAR.AX,KAR,karoon energy,au,
NCK.AX,NCK,nick scali,au,
PRU.AX,PRU,perseus mining,au,
REA.AX,REA,rea group,au,
CIM.AX,CIM,cimic group,au,
LLC.AX,LLC,lendlease group,au,
JIN.AX,JIN,jumbo interactive,au,
JBH.AX,JBH,jb hifi,au,
AMP.AX,AMP,amp,au,
QAN.AX,QAN,qantas airways,au,
ILU.AX,ILU,iluka resources,au,
MGX.AX,MGX,mount gibson iron,au,
WOW.AX,WOW,woolworths group,au,
SSM.AX,SSM,service stream,au,
LYC.AX,LYC,lynas rare earths,au,
ASX.AX,ASX,asx,au,
PNV.AX,PNV,polynovo,au,
ORG.AX,ORG,origin energy,au,
CBA.AX,CBA,commonwealth bank australia,au,
BLD.AX,BLD,boral,au,
ORI.AX,ORI,orica,au,
IMD.AX,IMD,imdex,au,
DOW.AX,DOW,downer edi,au,
ARB.AX,ARB,arb,au,
NUF.AX,NUF,nufarm,au,
HLS.AX,HLS,healius,au,
CPU.AX,CPU,computershare,au,
CSL.AX,CSL,csl,au,
SUN.AX,SUN,suncorp group,au,
RMS.AX,RMS,ramelius resources,au,
MND.AX,MND,monadelphous group,au,
SFR.AX,SFR,sandfire resources,au,
WES.AX,WES,wesfarmers,au,
AWC.AX,AWC,alumina,au,
FMG.AX,FMG,fortescue metals group,au,
TLS.AX,TLS,telstra,au,
BPT.AX,BPT,beach energy,au,
RHC.AX,RHC,ramsay health care,au,
IAG.AX,IAG,insurance australia group,au,
SBM.AX,SBM,st barbara,au,
CUV.AX,CUV,clinuvel pharmaceuticals,au,
PME.AX,PME,pro medicus,au,
EOS.AX,EOS,electro optic systems holdings,au,
APE.AX,APE,eagers automotive,au,
IRE.AX,IRE,iress,au,
TNE.AX,TNE,technology one,au,
WOR.AX,WOR,worley,au,
IPL.AX,IPL,incitec pivot,au,
PPT.AX,PPT,perpetual,au,
CTD.AX,CTD,corporate travel management,au,
SHL.AX,SHL,sonic healthcare,au,
WEB.AX,WEB,webjet,au,
BOQ.AX,BOQ,bank queensland,au,
HSN.AX,HSN,hansen technologies,au,
APA.AX,APA,apa group,au,
CCP.AX,CCP,credit group,au,
BKW.AX,BKW,brickworks,au,
FLT.AX,FLT,flight centre travel group,au,
ELD.AX,ELD,elders,au,
GUD.AX,GUD,gud holdings,au,
BEN.AX,BEN,bendigo adelaide bank,au,
BKL.AX,BKL,blackmores,au,
GNC.AX,GNC,graincorp,au,
GWA.AX,GWA,gwa group,au,
OZL.AX,OZL,oz minerals,au,
BRG.AX,BRG,breville group,au,
ALD.AX,ALD,ampol,au,
ALQ.AX,ALQ,als,au,
ALU.AX,ALU,altium,au,
HVN.AX,HVN,harvey norman holdings,au,
TCL.AX,TCL,transurban group,au,
OBL.AX,OBL,omni bridgeway,au,
COH.AX,COH,cochlear,au,
ALL.AX,ALL,aristocrat leisure,au,
WSA.AX,WSA,western areas,au,
OSH.AX,OSH,oil search,au,
PMV.AX,PMV,premier investments,au,
RSG.AX,RSG,resolute mining,au,
JHX.AX,JHX,james hardie industries,au,
IGO.AX,IGO,igo,au,
RRL.AX,RRL,regis resources,au,
BSL.AX,BSL,bluescope steel,au,
DEG.AX,DEG,de grey mining,au,
EVN.AX,EVN,evolution mining,au,
IFL.AX,IFL,ioof holdings,au,
IVC.AX,IVC,invocare,au,
QBE.AX,QBE,qbe insurance group,au,
NST.AX,NST,northern star resources,au,
CGF.AX,CGF,challenger,au,
TAH.AX,TAH,tabcorp holdings,au,
ABC.AX,ABC,adbri,au,
PRN.AX,PRN,perenti global,au,
ANZ.AX,ANZ,australia new zealand banking group,au,
WBC.AX,WBC,westpac banking,au,
BHP.AX,BHP,bhp group,au,
RIO.AX,RIO,rio tinto group,au,
CSR.AX,CSR,csr,au,
ANN.AX,ANN,ansell,au,
NAB.AX,NAB,national australia bank,au,
STO.AX,STO,santos,au,
WPL.AX,WPL,woodside petroleum,au,
CWY.AX,CWY,cleanaway waste management,au,
MTS.AX,MTS,metcash,au,
SEK.AX,SEK,seek,au,
SYD.AX,SYD,sydney airport,au,
MFG.AX,MFG,magellan financial group,au,
DMP.AX,DMP,domino's pizza enterprises,au,
NEA.AX,NEA,nearmap,au,
SGM.AX,SGM,sims,au,
VRT.AX,VRT,virtus health,au,
PLS.AX,PLS,pilbara minerals,au,
SDF.AX,SDF,steadfast group,au,
BGL.AX,BGL,bellevue gold,au,
EML.AX,EML,eml payments,au,
NEC.AX,NEC,nine entertainment holdings,au,
ORA.AX,ORA,orora,au,
PGH.AX,PGH,pact group holdings,au,
CHN.AX,CHN,chalice mining,au,
BAP.AX,BAP,bapcor,au,
AGL.AX,AGL,agl energy,au,
CIA.AX,CIA,champion iron,au,
GMA.AX,GMA,genworth mortgage insurance australia,au,
SIQ.AX,SIQ,smartgroup,au,
GOR.AX,GOR,gold road resources,au,
IPH.AX,IPH,iph,au,
EHE.AX,EHE,estia health,au,
OML.AX,OML,ooh!media,au,
LOV.AX,LOV,lovisa holdings,au,
APX.AX,APX,appen,au,
MIN.AX,MIN,mineral resources,au,
AMA.AX,AMA,ama group,au,
S32.AX,S32,south32,au,
BXB.AX,BXB,brambles,au,
AFG.AX,AFG,australian finance group,au,
ADH.AX,ADH,adairs,au,
HUM.AX,HUM,humm group,au,
CGC.AX,CGC,costa group holdings,au,
GXY.AX,GXY,galaxy resources,au,
RBL.AX,RBL,redbubble,au,
LNK.AX,LNK,link administration holdings,au,
BWX.AX,BWX,bwx,au,
IEL.AX,IEL,idp education,au,
TPW.AX,TPW,temple webster group,au,
MP1.AX,MP1,megaport,au,
AST.AX,AST,ausnet services,au,
WTC.AX,WTC,wisetech global,au,
SKI.AX,SKI,spark infrastructure group,au,
RWC.AX,RWC,reliance worldwide,au,
AMI.AX,AMI,aurelia metals,au,
NAN.AX,NAN,nanosonics,au,
PTM.AX,PTM,platinum investment management,au,
WHC.AX,WHC,whitehaven coal,au,
PNI.AX,PNI,pinnacle investment management group,au,
HUB.AX,HUB,hub24,au,
SYR.AX,SYR,syrah resources,au,
NWH.AX,NWH,nrw holdings,au,
KGN.AX,KGN,kogancom,au,
SLR.AX,SLR,silver lake resources,au,
MQG.AX,MQG,macquarie group,au,
NHF.AX,NHF,nib holdings,au,
PDL.AX,PDL,pendal group,au,
ORE.AX,ORE,orocobre,au,
CWN.AX,CWN,crown resorts,au,
ING.AX,ING,inghams group,au,
BVS.AX,BVS,bravura solutions,au,
WGX.AX,WGX,westgold resources,au,
BIN.AX,BIN,bingo industries,au,
APT.AX,APT,afterpay,au,
DHG.AX,DHG,domain holdings australia,au,
TLX.AX,TLX,telix pharmaceuticals,au,
NWL.AX,NWL,netwealth group,au,
VEA.AX,VEA,viva energy group,au,
NIC.AX,NIC,nickel mines,au,
ALG.AX,ALG,ardent leisure group,au,
COL.AX,COL,coles group,au,
UWL.AX,UWL,uniti group,au,
PBH.AX,PBH,pointsbet holdings,au,
MPL.AX,MPL,medibank private,au,
CAR.AX,CAR,carsalescom,au,
TYR.AX,TYR,tyro payments,au,
NTO.AX,NTO,nitro software,au,
UMG.AX,UMG,united malt group,au,
TPG.AX,TPG,tpg telecom,au,
Z1P.AX,Z1P,zip,au,
SXL.AX,SXL,southern cross media group,au,
ALX.AX,ALX,atlas arteria,au,
SUM.NZ,SUM,summerset group holdings,nz,
CNU.NZ,CNU,chorus,nz,
AIA.NZ,AIA,auckland international airport,nz,
IFT.NZ,IFT,infratil,nz,
FPH.NZ,FPH,fisher paykel healthcare,nz,
FBU.NZ,FBU,fletcher building,nz,
CEN.NZ,CEN,contact energy,nz,
ATM.NZ,ATM,a2 milk,nz,
RYM.NZ,RYM,ryman healthcare,nz,
SKC.NZ,SKC,skycity entertainment group,nz,
AIR.NZ,AIR,air new zealand,nz,
SPK.NZ,SPK,spark new zealand,nz,
MCY.NZ,MCY,mercury nz,nz,
ZEL.NZ,ZEL,z energy,nz,
MEL.NZ,MEL,meridian energy,nz,
MLCO,MLCO,melco resorts entertainment,us,False
HCM,HCM,hutchmed (china),us,True
FUTU,FUTU,futu holdings,us,True
NS8U.SI,NS8U,hutchison port holdings trust,sg,
OV8.SI,OV8,sheng siong group,sg,
T39.SI,T39,singapore press holdings,sg,
C09.SI,C09,city developments,sg,
U96.SI,U96,sembcorp industries,sg,
BSL.SI,BSL,raffles medical group,sg,
U11.SI,U11,united overseas bank,sg,
U14.SI,U14,uol group,sg,
V03.SI,V03,venture,sg,
S63.SI,S63,singapore technologies engineering,sg,
S58.SI,S58,sats,sg,
S59.SI,S59,sia engineering,sg,
S68.SI,S68,singapore exchange,sg,
C31.SI,C31,capitaland,sg,
AWX.SI,AWX,aem holdings,sg,
558.SI,558,ums holdings,sg,
C52.SI,C52,comfortdelgro,sg,
S08.SI,S08,singapore post,sg,
E5H.SI,E5H,golden agriresources,sg,
D05.SI,D05,dbs group holdings,sg,
S51.SI,S51,sembcorp marine,sg,
C07.SI,C07,jardine cycle carriage,sg,
G13.SI,G13,genting singapore,sg,
C6L.SI,C6L,singapore airlines,sg,
Z74.SI,Z74,singapore telecommunications,sg,
E28.SI,E28,frencken group,sg,
O39.SI,O39,overseachinese banking,sg,
F34.SI,F34,wilmar international,sg,
8K7.SI,8K7,ug healthcare,sg,
CC3.SI,CC3,starhub,sg,
BN4.SI,BN4,keppel,sg,
EB5.SI,EB5,first resources,sg,
CJLU.SI,CJLU,netlink nbn trust,sg,
SE,SE,sea,us,True
SIMO,SIMO,silicon motion technology,us,True
HIMX,HIMX,himax technologies,us,True
BPY-UN.TO,BPY,brookfield property partners lp,ca,
PRMW.TO,PRMW,primo water,ca,
ECN.TO,ECN,ecn capital,ca,
EDV.TO,EDV,endeavour mining,ca,
BEP-UN.TO,BEP,brookfield renewable partners lp,ca,
BIP-UN.TO,BIP,brookfield infrastructure partners lp,ca,
OGC.TO,OGC,oceanagold,ca,
AEM.TO,AEM,agnico eagle mines,ca,
ACO-X.TO,ACO,atco,ca,
ABX.TO,ABX,barrick gold,ca,
BCE.TO,BCE,bce,ca,
BAM-A.TO,BAM,brookfield asset management,ca,
T.TO,T,telus,ca,
CAE.TO,CAE,cae,ca,
MFI.TO,MFI,maple leaf foods,ca,
CNR.TO,CNR,canadian national railway,ca,
CP.TO,CP,canadian pacific railway,ca,
CTC-A.TO,CTC,canadian tire,ca,
RUS.TO,RUS,russel metals,ca,
FTT.TO,FTT,finning international,ca,
IMO.TO,IMO,imperial oil,ca,
